,id,node_name,latitude,longitude
0,301,경복궁역 7번출구 앞,37.575794,126.971451
1,302,경복궁역 4번출구 뒤,37.575947,126.97406
2,303,광화문역 1번출구 앞,37.57177,126.974663
3,304,광화문역 2번출구 앞,37.572113,126.977577
4,305,종로구청 옆,37.572582,126.978355
5,306,광화문역 7번출구 앞,37.570808,126.976433
6,307,서울역사박물관 앞,37.57,126.9711
7,308,광화문 S타워 앞,37.569969,126.973938
8,309,광화문역 6번출구 옆,37.569889,126.976456
9,314,국립현대미술관,37.579708,126.980858
10,316,종각역 1번출구 앞,37.570396,126.981789
11,326,안국역 5번출구 앞,37.576241,126.98616
12,327,낙원상가 옆,37.573357,126.987465
13,328,탑골공원 앞,37.570396,126.98819
14,329,청계2가 사거리 옆,37.568344,126.987892
15,334,종로3가역 2번출구 뒤,37.570599,126.991791
16,335,종로3가역 15번출구 앞,37.570198,126.991257
17,337,창경궁 입구,37.578979,126.996475
18,338,세운스퀘어 앞,37.570957,126.997124
19,339,종로4가 사거리,37.571068,126.998192
20,340,혜화동 로터리,37.585629,127.000679
21,341,혜화역 3번출구 뒤,37.58157,127.001785
22,342,대학로 마로니에공원,37.579784,127.002533
23,343,예일빌딩(율곡로) 앞,37.575432,127.004982
24,344,성균관대 E하우스 앞,37.574036,127.006721
25,345,서울보증보험본사 앞,37.573307,127.00071
26,348,독립문역 사거리,37.572029,126.960785
27,349,사직동주민센터,37.576332,126.96859
28,351,청운초교 앞 삼거리,37.585079,126.970619
29,352,중앙고입구 삼거리,37.583416,126.985237
30,353,재동초교 앞 삼거리,37.579388,126.984947
31,354,포르투갈 대사관 앞,37.579155,126.98896
32,355,서울사대부속초교 앞,37.576508,127.002457
33,356,KT혜화지사 앞,37.577145,127.00206
34,358,성대입구 사거리,37.5825,126.998535
35,359,원남동사거리,37.576061,126.997681
36,361,동묘앞역 1번출구 뒤,37.573242,127.015907
37,362,청계8가 사거리,37.572224,127.022705
38,363,신설동역 11번출구 뒤,37.57576,127.022835
39,364,창신역 1번출구 앞,37.579334,127.015083
40,367,독립문역 3-1번출구,37.573849,126.958694
41,368,SK 서린빌딩 앞,37.569248,126.980537
42,369,광화문 시민열린마당,37.575493,126.9785
43,385,종각역 5번출구,37.569836,126.982658
44,388,동성중학교 앞,37.585735,127.00161
45,393,동대문역 8번 출구,37.570141,127.009377
46,394,경희궁 자이 3단지,37.56749,126.965919
47,395,경희궁 자이 2단지,37.568855,126.964561
48,397,종묘공영주차장 건너편,37.57048,126.996635
49,446,상명대입구,37.600128,126.957832
50,447,신영동삼거리,37.603992,126.961945
51,449,일성아파트,37.608719,126.972862
52,450,효자동 삼거리,37.583603,126.972549
53,451,청와대앞길,37.583515,126.979668
54,452,동대문 종합시장 버스정류장,37.571239,127.00441
55,453,종로오가 지하쇼핑센터 14번출구,37.57114,127.000671
56,454,종로2가 버스정류장 (종각방향),37.570358,126.986382
57,455,삼익한의원,37.570961,127.006058
58,456,숭인2동 주민센터 입구 (이강3대냉면),37.574471,127.019829
59,457,종로꽃시장 입구 옆,37.57132,127.00721
60,458,광화문역 5번출구,37.569939,126.977539
61,461,서울지방경찰청,37.574364,126.972366
62,462,신영동삼거리(북악터널방향),37.603512,126.962067
63,464,삼청동 골목,37.58419,126.981697
64,465,삼청공원 앞,37.587605,126.983597
65,486,평창동주민센터 앞,37.60629998,126.9687026
66,3401,창신두산아파트,37.573761,127.013939
67,3402,이화공영주차장,37.576607,127.00557
68,3403,서울특별시 교육청,37.569508,126.967011
69,3404,서울특별시 중부교육지원청,37.571854,127.002358
70,3405,파크팰리스,37.574551,126.970551
71,3406,세종로공원,37.574059,126.9758
72,3407,안국동사거리(신),37.575806,126.983391
73,3408,종로타워빌딩,37.570511,126.983368
74,3410,종로3가역 8번출구,37.572037,126.991844
75,3411,종묘,37.570702,126.994812
76,3412,세운상가,37.570313,126.994545
77,3413,종로플레이스,37.5732,126.997963
78,3414,종로5가역 4번출구,37.571175,127.002228
79,3415,동대문역6번출구,37.57146817,127.0106973
80,3416,동묘앞역 6번출구,37.571533,127.015617
81,3417,창신3동주민센터,37.577724,127.015251
82,3418,창신역2번 출구,37.579987,127.01506
83,3419,국립어린이과학관,37.581947,126.997368
84,3420,성균관대입구사거리(맥도날드),37.583275,126.998856
85,3421,혜화역 1번출구,37.583855,127.001854
86,3422,성균관대 정문,37.584797,126.997131
87,3423,현대그룹(본사),37.575836,127.000694
88,3425,광화문 풍림스페이스본 1단지앞,37.574848,126.968269
89,3426,독립문역 2번출구 뒤,37.575016,126.95755
90,3427,인왕산 아이파크 정문,37.576603,126.956749
91,3428,서울미술관,37.595127,126.963493
92,3429,AW컨벤션앞,37.59726,126.963089
93,3430,구기치안센터 앞,37.60854,126.957138
94,3431,로제우스 레포츠센터,37.607601,126.957687
95,3432,종로2가 사거리,37.569992,126.988342
96,4702,"평창동 꽃여울(꽃집),스타벅스 앞",37.60615748,126.9671913
97,4710,자교교회 앞,37.58158367,126.9716402
98,4711,올림픽기념 국민생활관 로터리,37.58981838,126.9993994
99,300,정동사거리,37.56805,126.969231
100,310,청계광장 옆,37.568878,126.97747
101,311,서울광장 옆,37.566612,126.97747
102,312,시청역 1번출구 뒤,37.564674,126.976738
103,318,광교사거리 남측,37.568527,126.982552
104,320,을지로입구역 4번출구 앞,37.566223,126.983589
105,321,KEB 하나금융그룹 명동사옥 옆,37.565464,126.984138
106,322,명동성당 앞,37.564476,126.986969
107,324,신세계백화점 본점 앞,37.56134,126.9804
108,331,을지로2가 사거리 북측,37.566383,126.987206
109,332,을지로2가 사거리 남측,37.56599,126.987793
110,336,티마크 호텔 앞,37.562618,126.992836
111,346,맥스타일 앞,37.569183,127.00988
112,347,동대문역사문화공원역 9번출구 앞,37.565331,127.007843
113,370,시청역(2호선) 9번출구 뒤,37.563229,126.974838
114,371,동대입구역 6번출구 뒤,37.558872,127.005539
115,372,약수역 3번출구 뒤,37.554295,127.0112
116,373,청구 어린이공원,37.555859,127.013855
117,374,청구역 2번출구 앞,37.560474,127.014076
118,375,다산 어린이공원,37.563717,127.018425
119,378,청계7가 사거리,37.569805,127.016953
120,379,서울역9번출구,37.556,126.973358
121,380,CJ제일제당 앞,37.563866,127.002747
122,381,장충체육관,37.558533,127.006989
123,382,약수역 10번출구 앞,37.555199,127.010048
124,383,신당역 12번 출구 뒤,37.565849,127.016403
125,384,종로학원본원,37.55978,126.968506
126,387,훈련원공원주차장 앞,37.566994,127.003464
127,389,을지로4가역 1번출구,37.56673,126.996605
128,390,충무로역 1번출구,37.56139,126.995354
129,391,정동길입구,37.565437,126.973305
130,398,을지로3가역 3번출구,37.566559,126.992439
131,399,서울역 센트럴 자이아파트,37.554108,126.965408
132,428,명보사거리,37.5644,126.991432
133,429,송도병원,37.549889,127.007347
134,430,KEB하나은행 장충동지점,37.562172,127.006264
135,431,청계천 영도교,37.5709,127.019524
136,433,을지로입구역 2번출구,37.566345,126.982292
137,434,신당 래미안 버스정류장,37.561489,127.023933
138,435,SK 남산빌딩,37.556862,126.975616
139,826,서울역 서부교차로2,37.555367,126.968643
140,441,염천교사거리,37.559891,126.97068
141,442,서울역 서부,37.553692,126.97216
142,443,호암아트홀,37.562111,126.970718
143,444,서울역3번 출구,37.557602,126.97258
144,445,대한상공회의소,37.560291,126.974548
145,466,롯데호텔,37.565842,126.979813
146,467,한국은행,37.562214,126.980866
147,468,웨스틴 조선호텔,37.564159,126.979485
148,469,회현역 1번출구,37.559231,126.980141
149,470,회현역 7번출구,37.55965,126.979889
150,471,회현사거리 남측,37.56036,126.982651
151,472,삼일교(시그니쳐 타워),37.567871,126.988983
152,473,을지로4가역 9번출구,37.566051,126.997986
153,474,동대문역사문화공원역 1번출구 뒤편,37.566299,127.008492
154,475,ddp패션몰,37.56765,127.01181
155,476,광희문,37.56443,127.009956
156,477,앰배서더 호텔 주변,37.559288,127.002686
157,479,동대입구역 3번 출구,37.559376,127.006027
158,480,약수역 6번 출구,37.554321,127.010704
159,481,신당역 10번 출구,37.567032,127.015793
160,482,예수소망교회,37.55994,127.018478
161,483,남산타운아파트 버스정류장,37.547585,127.006439
162,484,도동삼거리,37.555767,126.977188
163,485,서울역4번출구,37.557404,126.973251
164,3013,서울지방고용노동청 앞,37.56728087,126.9867634
165,4761,탐앤탐스 을지로3가점,37.56459538,126.9910535
166,4762,국제빌딩,37.56692117,126.9822535
167,4772,중앙일보,37.56248638,126.9721946
168,4774,을지로입구역 8번출구,37.56533738,126.9818401
169,4775,을지로지하쇼핑센터,37.56574228,126.9868287
170,4776,신세계면세점,37.56028197,126.9815318
171,4778,대신파이낸스센터,37.56509737,126.9874225
172,4784,중부경찰서앞 사거리,37.56469516,126.9903293
173,4785,롯데시티호텔,37.56681693,126.9877109
174,4791,명동역9번출구,37.56184107,126.9885225
175,800,목월공원 앞,37.532433,126.954742
176,802,한강진역 2번 출구 앞,37.541153,127.002213
177,803,한남초교 앞 보도육교,37.538139,127.004097
178,805,문배어린이공원 앞,37.536758,126.970001
179,806,전자랜드 본관 앞,37.533066,126.960732
180,807,서울역 12번 출구 앞,37.552277,126.972687
181,808,서빙고동 금호맨션 앞,37.520504,126.989738
182,809,한남 유수지 복개주차장,37.530167,127.007439
183,810,이태원지하보도,37.53841,126.986649
184,811,녹사평역1번출구,37.53508,126.985382
185,812,용산전쟁기념관,37.53484,126.977661
186,813,삼각지역 3번출구,37.533512,126.972275
187,815,LIG강촌아파트 103동앞,37.518509,126.978798
188,816,신용산역 6번출구 앞,37.530148,126.968483
189,817,삼각지역 4번출구 앞,37.533451,126.971733
190,818,숙명여대 입구 교차로,37.544895,126.969383
191,819,선린인터넷 고등학교,37.541653,126.970505
192,820,청파동입구 교차로,37.549026,126.971947
193,822,이촌1동 마을공원,37.522041,126.965523
194,823,효창동주민센터 앞,37.54232,126.96196
195,825,서빙고동 주민센터 앞,37.520336,126.994263
196,827,국군복지단,37.541885,126.97966
197,828,숙대입구역 8번,37.544079,126.972
198,829,베르가모앞,37.52293,126.961693
199,830,청암자이아파트앞,37.534424,126.94857
200,831,이태원관광특구입구,37.534279,126.988564
201,832,이촌1동 주민센터 뒤,37.521282,126.973465
202,834,효창공원앞역 3번출구 뒤,37.539009,126.96138
203,835,남영역 건너편,37.541981,126.971542
204,836,현대자동차서비스 앞,37.531422,126.9515
205,837,한남나들목 입구,37.52906,127.006729
206,838,숙대입구역 4번출구,37.54446,126.972389
207,839,보광동 삼성리버빌아파트 앞,37.52401,127.00145
208,840,용산 파크타워 앞,37.523651,126.970268
209,841,신용산역 1번 출구,37.52961,126.968872
210,843,녹사평역 광장,37.533798,126.98867
211,844,이촌2동 동원베네스트 아파트 앞,37.527149,126.955162
212,845,용산 선인상가,37.5327,126.964378
213,846,용산중학교,37.546638,126.981041
214,847, 국방부민원실옆,37.534523,126.977501
215,848, 삼각지12번 출구,37.535259,126.975052
216,849, 삼각지 자이아파트,37.536079,126.973419
217,850, KCC용산월츠타워 ,37.537399,126.968926
218,851,효창 푸르지오 앞,37.540478,126.958115
219,852,청암자이APT(103동),37.534527,126.947182
220,853,용산역 맞은편,37.528568,126.965691
221,854,HID 유족동지회 앞,37.538727,127.001549
222,855,이촌역5번출구 앞,37.522724,126.972771
223,857, 현대 안성타워,37.535023,126.998055
224,858,녹사평역3번 출구,37.534409,126.986893
225,859,남산공원 야외식물원 앞,37.541885,126.995865
226,860,LG한강 자이아파트 앞,37.520695,126.970978
227,863,이촌역2번 출구,37.52177,126.977005
228,864,순천향대학병원(한남오거리),37.535141,127.006004
229,865,하얏트호텔 앞,37.540794,126.997849
230,866,브라운스톤 남산아파트,37.551548,126.97686
231,867,서빙고역 광장(1번출구),37.519909,126.989235
232,868,롯데하이마트 용산점 앞,37.53722,126.965019
233,869,노들섬 동측 앞,37.517296,126.959145
234,870,노들섬 서측 앞,37.517319,126.958298
235,4602,숙명여대앞 버스정류소 주변,37.54501006,126.9642216
236,4604,원효로다목적체육관 앞,37.53275617,126.9570249
237,4605,"노들섬 다목적홀(동쪽) 숲, 앞",37.51742899,126.9592568
238,4616,신용산지하차도 앞,37.53244566,126.9642569
239,4617,동원베네스트 건너편,37.52756943,126.9552228
240,4618,풍전아파트 건너편,37.53180838,126.951625
241,4627,효창공원앞역 5번출구 옆,37.5389092,126.9622572
242,3511,응봉역 1번출구,37.55125,127.035103
243,3513,상왕십리역 1번출구,37.56461,127.029198
244,3514,왕십리교회옆,37.566261,127.023697
245,3515,서울숲 관리사무소,37.542816,127.042084
246,3525,금호스포츠센터앞,37.546089,127.02507
247,3527,왕십리 자이아파트,37.56179,127.024391
248,3530,왕십리자이아파트 후문(삼거리),37.560146,127.02636
249,3531,논골사거리(금호도서관 입구),37.554779,127.024841
250,3532,왕십리KCC스위첸아파트,37.56068,127.026779
251,3538,서울숲 IT캐슬,37.550892,127.044762
252,506,금호 어울림 아파트 앞,37.549061,127.057793
253,507,성수아이에스비즈타워 앞,37.548203,127.057114
254,508,성수아카데미타워 앞,37.545166,127.05751
255,509,이마트 버스정류소 옆,37.539654,127.052589
256,510,서울숲 남문 버스정류소 옆,37.541222,127.0438
257,511,서울숲역 4번 출구 옆,37.544582,127.044609
258,512,뚝섬역 1번 출구 옆,37.548561,127.045006
259,513,뚝섬역 5번 출구 정류소 옆,37.546307,127.049805
260,514,성수사거리 버스정류장 앞,37.54258,127.063309
261,518,청계천 박물관 앞,37.571526,127.035355
262,519,양지사거리,37.566994,127.029915
263,520,상왕십리역 4번 출구 앞,37.563858,127.030319
264,521,왕십리역 11번 출구 앞,37.561447,127.03492
265,522,금호역 1번출구 앞,37.548641,127.016426
266,523,옥수동성당 옆,37.543663,127.014061
267,524,래미안금호하이리버 아파트 102동 옆,37.5522,127.025055
268,525,한양대병원사거리,37.558052,127.040352
269,526,용답토속공원 앞,37.563511,127.056725
270,529,장한평역 8번 출구 앞,37.561371,127.06366
271,530,청계벽산아파트 앞,37.568748,127.030403
272,533,우리은행 금호동 지점 앞,37.548149,127.021088
273,534,금호사거리,37.548634,127.025726
274,535,응봉삼거리,37.553986,127.033592
275,536,행당역 2번출구 앞,37.55735,127.029213
276,537,한양대후문역 부근,37.560356,127.041397
277,538,답십리역 8번출구 앞,37.56765,127.051155
278,550,서울시설공단 앞,37.57164,127.03566
279,556,달맞이공원,37.542053,127.020401
280,557,도선동 주민센터 앞,37.567642,127.025696
281,558,성동광진 교육지원청 앞,37.564606,127.036522
282,559,왕십리역 4번 출구 건너편,37.561096,127.036797
283,560,비전교회 앞,37.551205,127.068932
284,561,서울숲역 2번출구 앞,37.542816,127.04467
285,562,군자지하보도 앞,37.559246,127.07341
286,563,성동세무서 건너편,37.547913,127.062752
287,564,금호역 3번출구,37.547928,127.015572
288,565,옥수역 3번출구,37.541363,127.017662
289,567,성수역 2번출구 앞,37.54459,127.057083
290,568,청계8가사거리 부근,37.571102,127.02356
291,569,응봉현대아파트 정류소,37.549583,127.030243
292,578,성동세무서 부근,37.548286,127.062088
293,579,마장역 4번출구,37.565205,127.041847
294,581,용답초등학교,37.561012,127.054237
295,582,경일중학교 앞,37.543179,127.04908
296,583,청계천 생태교실 앞,37.56797,127.04689
297,583,청계천 생태교실 앞,37.56930748,127.0443634
298,585,성수2가1동 공영주차장 인근,37.536808,127.055489
299,586,마장동 주민센터,37.565941,127.045395
300,587,유니베라 앞,37.545418,127.052643
301,589,성수역3번출구,37.544159,127.056656
302,594,중랑물재생센터(서울새활용플라자),37.558365,127.056908
303,3544,한양대역 3번 출구,37.554539,127.043778
304,3545,한양대역 1번출구,37.55658,127.043358
305,3547,상왕십리역 6번 출입구,37.564381,127.02887
306,3548,뚝섬역 6번출구,37.546959,127.047669
307,3549,건영아파트 앞,37.555141,127.071106
308,3550,금호나들목,37.544041,127.023201
309,3551,성동도로사업소,37.559799,127.056328
310,3552,서울숲 공영주차장앞,37.541958,127.04277
311,3553,마장역3번출구,37.565979,127.043114
312,3555,양지사거리(센트라스APT 115동앞),37.566818,127.029152
313,3556,신금호파크자이APT앞,37.555313,127.019791
314,3557,서울숲리버뷰자이APT105동 앞,37.55653,127.039131
315,3558,마장동 금호어울림APT앞,37.563396,127.04187
316,3559,성동구민종합체육센터 앞,37.54591,127.044601
317,3560,성동구 견인차량 보관소 앞,37.563709,127.05645
318,3561,행당동 삼부APT후문,37.559269,127.038399
319,3600,사근빗물펌프장 건너편,37.56141399,127.0497081
320,4353,코오롱디지털타워 3차앞,37.54691593,127.0501027
321,4360,르노삼성자동차 성수사업소 앞,37.54831306,127.0596291
322,4362,행당중학교 후문,37.55393946,127.0415282
323,3500,군자역2번출구,37.557587,127.079697
324,3501,광진구청 앞,37.539501,127.083
325,3502,중곡역 1번출구,37.565659,127.084297
326,3503,광진유진스웰,37.550488,127.108955
327,3504,원일교회,37.538052,127.076599
328,3505,신양초교앞 교차로,37.535221,127.068398
329,3506,영동대교 북단,37.537014,127.061096
330,3507,어린이회관,37.545952,127.078003
331,3508,화양사거리,37.548222,127.067879
332,3509,세종사이버대학교,37.553417,127.073196
333,3510,중곡SK아파트앞,37.568649,127.08625
334,3516,구의아리수정수센터앞,37.543705,127.093246
335,3517,용마사거리,37.562527,127.082275
336,3518,군자역 7번출구뒤,37.556862,127.07914
337,3520,광진경찰서,37.542519,127.084084
338,3521,현대홈타운 뒷길,37.543427,127.096619
339,3523,건국대학교 과학관(이과대) 앞,37.541718,127.08017
340,3524,세종대학교,37.550236,127.073822
341,3528,광진정보도서관,37.550598,127.110512
342,3529,어린이대공원정문,37.549789,127.075928
343,3533,건대입구역 사거리(롯데백화점),37.539139,127.070618
344,3534,건대입구역 5번출구 뒤,37.540138,127.069283
345,3535,중곡사거리(국민은행),37.559158,127.087517
346,3536,중앙농협(자양동),37.531811,127.080742
347,3537,아차산 휴먼시아 아파트 옆,37.548489,127.093758
348,3541,커먼그라운드,37.54504,127.089958
349,3542,래미안 구의파크 스위트,37.54504,127.089958
350,500,어린이대공원역 3번출구 앞,37.54707,127.074272
351,501,광진구의회 앞,37.537308,127.070351
352,502,뚝섬유원지역 1번출구 앞,37.53186,127.067192
353,505,자양사거리 광진아크로텔 앞,37.53701,127.082245
354,515,광양중학교 앞,37.530235,127.08683
355,516,광진메디칼 앞,37.548405,127.069366
356,539,군자교교차로,37.559795,127.074203
357,540,군자역 7번출구 베스트샵 앞,37.55603,127.078644
358,542,강변역 4번출구 뒤,37.535465,127.094482
359,543,구의공원(테크노마트 앞),37.535969,127.094673
360,544,광남중학교,37.54073,127.102905
361,546,잠실대교북단 교차로,37.532478,127.085091
362,548,자양나들목,37.52977,127.07486
363,549,아차산역 3번출구,37.551224,127.089706
364,551,구의삼성쉐르빌 앞,37.540062,127.094498
365,552,대림아크로리버 앞,37.536579,127.092972
366,553,중곡 성원APT 앞,37.571255,127.079803
367,555,구의3동주민센터,37.537849,127.092171
368,571,어린이대공원역6번출구,37.548496,127.07476
369,572,국립정신 건강센터 앞,37.56538,127.08651
370,573,구의문주차장 앞,37.545231,127.084732
371,574,아차산역4번출구,37.551849,127.088982
372,575,중앙농협 중곡지점,37.564293,127.086937
373,576,광나루역 3번 출구,37.54483,127.104263
374,577,광진청소년수련관,37.546547,127.106133
375,584,광진광장 교통섬,37.547829,127.072632
376,588,뚝섬 유원지역,37.532688,127.067497
377,590,건국대학교 (입학정보관),37.53989,127.073364
378,591,건국대학교 (행정관),37.542778,127.075371
379,592,건국대학교 학생회관,37.541912,127.077637
380,593,자양중앙나들목,37.528587,127.077873
381,3543,세종대학교(학술정보원),37.551373,127.07444
382,3563,구의7단지현대아파트,37.53651,127.091393
383,3564,나루마당,37.547752,127.095757
384,3566,우성4차아파트,37.535072,127.076111
385,3569,건대병원후문,37.539566,127.072441
386,3570,구의역 리버비스타 오피스텔,37.538097,127.08902
387,3571,화양 APT(횡단보도 옆),37.54435,127.065407
388,3573,광나루안전체험관,37.551338,127.076714
389,3575,자양사거리 (LG 유플러스),37.536575,127.082581
390,3578,중곡동 파크웨이빌딩,37.555008,127.085815
391,3579,광진 캠퍼스시티,37.54789,127.067452
392,3581,광진광장,37.54747,127.073967
393,3582,화양동 우체국,37.547989,127.069504
394,3586,군자역 비채온 오피스텔,37.557713,127.077271
395,3587,우성식품 앞,37.54224338,127.0940959
396,3588,세종대학교(영실관),37.55179769,127.0736337
397,600,휘경2동 주민센터,37.589912,127.06868
398,601,용신동주민센터,37.575947,127.037361
399,602,장안동 사거리,37.572174,127.071388
400,604,답십리초등학교 옆 공원,37.569656,127.055962
401,605,신설동역8번출구,37.5742,127.026497
402,606,휘경공고앞,37.584625,127.07029
403,607,신이문역 2번출구,37.602711,127.067863
404,608,전농삼성아파트,37.58131,127.055344
405,609,제기2교,37.587791,127.037361
406,610,동대문중 교차로,37.573086,127.052162
407,612,시립동부병원 앞 사거리,37.573666,127.030815
408,613,신설동역 10번출구 앞,37.575272,127.023468
409,614,용두동 사거리,37.577686,127.031013
410,615,용두동 래미안허브리츠아파트 앞,37.576382,127.03511
411,616,서울시립대 앞,37.582561,127.054367
412,617,청솔우성아파트 앞,37.574203,127.057693
413,621,동대문중학교 옆,37.574718,127.053391
414,622,전농사거리 교통섬,37.577793,127.057831
415,623,서울시립대 정문 앞,37.583698,127.053856
416,624,전농동 동아아파트 앞,37.574188,127.045891
417,625,답십리초등학교 앞(현대시장 옆),37.568192,127.057175
418,626,군자교 서측 녹지대,37.561153,127.070969
419,627,장안동삼거리 교통섬,37.578632,127.071907
420,628,휘봉고등학교 앞,37.586815,127.067543
421,630,동대문구 보건소,37.574852,127.040306
422,631,답십리역 1번출구,37.568184,127.051277
423,633,청량리 기업은행 앞,37.580406,127.044823
424,634,외국어대 정문 앞,37.59602,127.05983
425,635,시조사 앞 (청량고정문 옆),37.587517,127.052773
426,636,세종대왕기념관 교차로,37.5909,127.042587
427,637,KAIST 경영대학 앞,37.591614,127.045792
428,638,서울시립대 정보기술관,37.583008,127.060974
429,639,서울시립대 후문,37.585197,127.060951
430,640,KEB하나은행 청량리역지점,37.582455,127.044495
431,641,용두역 4번출구,37.573753,127.038536
432,642,신답역 사거리,37.570326,127.048372
433,643,동대문구민체육센터 (육교아래),37.566971,127.074417
434,646,장한평역 1번출구 (국민은행앞),37.561867,127.064377
435,647,신이문역 1번출구,37.602798,127.067268
436,648,장안동위더스빌옆,37.5667,127.062424
437,650,중랑교사거리,37.591534,127.067741
438,652,답십리 래미안엘파인아파트 입구,37.57653,127.065941
439,654,전농동 텃골공원,37.577621,127.052109
440,656,영휘원 교차로,37.587238,127.043137
441,657,동대문롯데캐슬아파트 앞,37.57576,127.04837
442,658,촬영소 사거리,37.572948,127.066147
443,659,제기역1번출구,37.57835,127.033386
444,660,동의보감타워,37.577999,127.037628
445,661,경희대학교 청운관,37.594601,127.051964
446,663,외대앞역 4번출구,37.594891,127.063026
447,664,서울시립대 대학본부,37.584129,127.057938
